Water Tank 1 Totals,Water Tank 1 Totals,Water Tank 1 Totals,Water Tank 1 Totals,Water Tank 1 Totals,Water Tank 1 Totals,Water Tank 1 Totals,Water Tank 1 Totals,9984,0,9984,9984,,,,,,416,416,,
,,Water Tank 2,Water Tank 2,Water Tank 2,Water Tank 2,Water Tank 2,Water Tank 2,Water Tank 2,Water Tank 2,Water Tank 2,Water Tank 2,Water Tank 2,,,,,,,,
,,,2024-12-31 00:00:00,2024-12-31 00:00:00, Beg Bal,,,21216,0,21216,21216,,,,,,,,,
Water Tank 2 Totals,Water Tank 2 Totals,Water Tank 2 Totals,Water Tank 2 Totals,Water Tank 2 Totals,Water Tank 2 Totals,Water Tank 2 Totals,Water Tank 2 Totals,21216,0,21216,21216,,,,,,884,884,,
,,Water Tank 3,Water Tank 3,Water Tank 3,Water Tank 3,Water Tank 3,Water Tank 3,Water Tank 3,Water Tank 3,Water Tank 3,Water Tank 3,Water Tank 3,,,,,,,,
,,,2024-12-31 00:00:00,2024-12-31 00:00:00, Beg Bal,,,31200,0,31200,31200,,,,,,,,,
Water Tank 3 Totals,Water Tank 3 Totals,Water Tank 3 Totals,Water Tank 3 Totals,Water Tank 3 Totals,Water Tank 3 Totals,Water Tank 3 Totals,Water Tank 3 Totals,31200,0,31200,31200,,,,,,1300,1300,,
,,,,,,,,,,,,,,,,,,,,
Machinery & Equipment,Machinery & Equipment,Machinery & Equipment,Machinery & Equipment,Machinery & Equipment,Machinery & Equipment,Machinery & Equipment,Machinery & Equipment,Machinery & Equipment,Machinery & Equipment,Machinery & Equipment,Machinery & Equipment,Machinery & Equipment,,,,,,,,
,Machinery and Equipment - ,Machinery and Equipment - ,Machinery and Equipment - ,Machinery and Equipment - ,Machinery and Equipment - ,Machinery and Equipment - ,Machinery and Equipment - ,Machinery and Equipment - ,Machinery and Equipment - ,Machinery and Equipment - ,Machinery and Equipment - ,Machinery and Equipment - ,,,,,,,,
,,2011 Honda NXR 150 KS OGW7606,2011 Honda NXR 150 KS OGW7606,2011 Honda NXR 150 KS OGW7606,2011 Honda NXR 150 KS OGW7606,2011 Honda NXR 150 KS OGW7606,2011 Honda NXR 150 KS OGW7606,2011 Honda NXR 150 KS OGW7606,2011 Honda NXR 150 KS OGW7606,2011 Honda NXR 150 KS OGW7606,2011 Honda NXR 150 KS OGW7606,2011 Honda NXR 150 KS OGW7606,,,,,,,,
,,,2024-12-31 00:00:00,2024-12-31 00:00:00, Beg Bal,,,800,0,800,800,,,,,,,,,
2011 Honda NXR 150 KS OGW7606 Totals,2011 Honda NXR 150 KS OGW7606 Totals,2011 Honda NXR 150 KS OGW7606 Totals,2011 Honda NXR 150 KS OGW7606 Totals,2011 Honda NXR 150 KS OGW7606 Totals,2011 Honda NXR 150 KS OGW7606 Totals,2011 Honda NXR 150 KS OGW7606 Totals,2011 Honda NXR 150 KS OGW7606 Totals,800,0,800,800,,,,800,800,,,,
